"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Link Attributes"
"IMG","https://alumni.tcnj.edu/brick-locator/","https://tcnj.edu/wp-content/themes/alumni-brick/img/b-bricks/IMG_3331.jpg","146"," brick","","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/brick-locator/","https://alumni.tcnj.edu/networking/","0","","Stay Connected","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/staff-directory/","https://alumni.tcnj.edu/networking/","0","","Stay Connected","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/alumni-leadership-awards/past-award-recipients/","https://alumni.tcnj.edu/networking/","0","","Stay Connected","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/alumni-leadership-awards/","https://alumni.tcnj.edu/networking/","0","","Stay Connected","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/chapters-affiliated-with-the-tcnj-alumni-association/","https://alumni.tcnj.edu/networking/","0","","Stay Connected","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/events/","https://alumni.tcnj.edu/networking/","0","","Stay Connected","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/webinars/","https://alumni.tcnj.edu/networking/","0","","Stay Connected","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/about/join-the-alumni-association-board/","https://alumni.tcnj.edu/networking/","0","","Stay Connected","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/about/","https://alumni.tcnj.edu/networking/","0","","Stay Connected","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/benefits/","https://alumni.tcnj.edu/networking/","0","","Stay Connected","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/","https://alumni.tcnj.edu/networking/","0","","Stay Connected","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/benefits/get-your-tcnj-alumni-card/","https://alumni.tcnj.edu/networking/","0","","Stay Connected","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/about/letter-from-the-president-of-tcnj-alumni-association/","https://alumni.tcnj.edu/networking/","0","","Stay Connected","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/class-note/","https://alumni.tcnj.edu/networking/","0","","Stay Connected","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/about/executive-board-information/","https://alumni.tcnj.edu/networking/","0","","Stay Connected","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/benefits/alumni-email/","https://alumni.tcnj.edu/networking/","0","","Stay Connected","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/tcnj-alumni-stay-connected/","https://alumni.tcnj.edu/networking/","0","","Stay Connected","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/faculty-and-staff-alumni-engagement-toolkit/","https://alumni.tcnj.edu/networking/","0","","Stay Connected","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/benefits/financial-services/","https://alumni.tcnj.edu/networking/","0","","Stay Connected","404","Not Found","true",""
"IMG","https://alumni.tcnj.edu/brick-locator/","https://tcnj.edu/wp-content/themes/alumni-brick/img/c-bricks/IMG_20200214_121541%20.jpg","146"," brick","","404","Not Found","true",""
"IMG","https://alumni.tcnj.edu/brick-locator/","https://tcnj.edu/wp-content/themes/alumni-brick/img/d-bricks/IMG_2458B.jpg","146"," brick","","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/brick-locator/","https://alumni.tcnj.edu/get-involved/","0","","Get Involved","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/staff-directory/","https://alumni.tcnj.edu/get-involved/","0","","Get Involved","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/alumni-leadership-awards/past-award-recipients/","https://alumni.tcnj.edu/get-involved/","0","","Get Involved","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/alumni-leadership-awards/","https://alumni.tcnj.edu/get-involved/","0","","Get Involved","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/chapters-affiliated-with-the-tcnj-alumni-association/","https://alumni.tcnj.edu/get-involved/","0","","Get Involved","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/events/","https://alumni.tcnj.edu/get-involved/","0","","Get Involved","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/webinars/","https://alumni.tcnj.edu/get-involved/","0","","Get Involved","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/about/join-the-alumni-association-board/","https://alumni.tcnj.edu/get-involved/","0","","Get Involved","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/about/","https://alumni.tcnj.edu/get-involved/","0","","Get Involved","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/benefits/","https://alumni.tcnj.edu/get-involved/","0","","Get Involved","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/","https://alumni.tcnj.edu/get-involved/","0","","Get Involved","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/benefits/get-your-tcnj-alumni-card/","https://alumni.tcnj.edu/get-involved/","0","","Get Involved","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/about/letter-from-the-president-of-tcnj-alumni-association/","https://alumni.tcnj.edu/get-involved/","0","","Get Involved","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/class-note/","https://alumni.tcnj.edu/get-involved/","0","","Get Involved","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/about/executive-board-information/","https://alumni.tcnj.edu/get-involved/","0","","Get Involved","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/benefits/alumni-email/","https://alumni.tcnj.edu/get-involved/","0","","Get Involved","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/tcnj-alumni-stay-connected/","https://alumni.tcnj.edu/get-involved/","0","","Get Involved","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/faculty-and-staff-alumni-engagement-toolkit/","https://alumni.tcnj.edu/get-involved/","0","","Get Involved","404","Not Found","true",""
"AHREF","https://alumni.tcnj.edu/benefits/financial-services/","https://alumni.tcnj.edu/get-involved/","0","","Get Involved","404","Not Found","true",""
"IMG","https://alumni.tcnj.edu/brick-locator/","https://tcnj.edu/wp-content/themes/alumni-brick/img/g-bricks/IMG_2580.jpg","146"," brick","","404","Not Found","true",""
"IMG","https://alumni.tcnj.edu/brick-locator/","https://tcnj.edu/wp-content/themes/alumni-brick/img/g-bricks/IMG_2580.jpg","146"," brick","","404","Not Found","true",""
"IMG","https://alumni.tcnj.edu/brick-locator/","https://tcnj.edu/wp-content/themes/alumni-brick/img/a-bricks/2nd-compression/DSC_07019.jpg","146"," brick","","404","Not Found","true",""
"IMG","https://alumni.tcnj.edu/brick-locator/","https://tcnj.edu/wp-content/themes/alumni-brick/img/h-bricks/IMG_E9000.jpg","146"," brick","","404","Not Found","true",""
"IMG","https://alumni.tcnj.edu/brick-locator/","https://tcnj.edu/wp-content/themes/alumni-brick/img/g-bricks/IMG_2061.jpg","146"," brick","","404","Not Found","true",""
"IMG","https://alumni.tcnj.edu/brick-locator/","https://tcnj.edu/wp-content/themes/alumni-brick/img/d-bricks/IMG_215.jpg","146"," brick","","404","Not Found","true",""
"IMG","https://alumni.tcnj.edu/brick-locator/","https://tcnj.edu/wp-content/themes/alumni-brick/img/d-bricks/IMG_215.jpg","146"," brick","","404","Not Found","true",""
